127.0.0.1 - - [08/Dec/2015:09:56:43 -0500] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [08/Dec/2015:09:56:44 -0500] "GET /tutorial-4-JSP/includes.jsp HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [08/Dec/2015:10:04:41 -0500] "GET /tutorial-4-JSP/includes.jsp HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [08/Dec/2015:10:31:10 -0500] "GET /tutorial-4-JSP/includes.jsp HTTP/1.1" 500 2982
0:0:0:0:0:0:0:1 - - [08/Dec/2015:10:31:24 -0500] "GET /tutorial-4-JSP/includes.jsp HTTP/1.1" 500 2982
0:0:0:0:0:0:0:1 - - [08/Dec/2015:10:31:46 -0500] "GET /tutorial-4-JSP/includes.jsp HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [08/Dec/2015:16:02:05 -0500] "GET /tutorial-4-JSP/includes.jsp HTTP/1.1" 200 370
0:0:0:0:0:0:0:1 - - [08/Dec/2015:16:03:03 -0500] "GET /tutorial-4-JSP/includes.jsp HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [08/Dec/2015:16:03:46 -0500] "GET /tutorial-4-JSP/includes.jsp?id=6 HTTP/1.1" 500 3030
0:0:0:0:0:0:0:1 - - [08/Dec/2015:16:04:20 -0500] "GET /tutorial-4-JSP/includes.jsp HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [08/Dec/2015:16:06:04 -0500] "GET /tutorial-4-JSP/includes.jsp HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [08/Dec/2015:16:06:09 -0500] "GET /tutorial-4-JSP/includes.jsp?id=5 HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [08/Dec/2015:16:10:18 -0500] "GET /tutorial-4-JSP/forward.jsp HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [08/Dec/2015:16:25:27 -0500] "GET /tutorial-4-JSP/forward.jsp HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [08/Dec/2015:16:26:03 -0500] "GET /tutorial-4-JSP/forward.jsp HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [08/Dec/2015:16:26:33 -0500] "GET /tutorial-4-JSP/forward.jsp HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [08/Dec/2015:16:26:56 -0500] "GET /tutorial-4-JSP/forward.jsp HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [08/Dec/2015:16:28:11 -0500] "GET /tutorial-4-JSP/forward.jsp HTTP/1.1" 500 2887
0:0:0:0:0:0:0:1 - - [08/Dec/2015:16:28:34 -0500] "GET /tutorial-4-JSP/forward.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2015:16:28:34 -0500] "GET /tutorial-4-JSP/index.jsp HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [08/Dec/2015:16:28:45 -0500] "GET /tutorial-4-JSP/forward.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2015:16:28:45 -0500] "GET /tutorial-4-JSP/index.jsp HTTP/1.1" 200 340
